Year,LocationAbbr,LocationDesc,DataSource,Topic,Subtopic,ShortQuestionText,Greater_Risk_Question,Description,Data_Value_Symbol,Data_Value_Type,Greater_Risk_Data_Value,Greater_Risk_Data_Value_Footnote_Symbol,Greater_Risk_Data_Value_Footnote,Greater_Risk_Low_Confidence_Limit,Greater_Risk_High_Confidence_Limit,Lesser_Risk_Question,Lesser_Risk_Data_Value,Lesser_Risk_Data_Value_Footnote_Symbol,Lesser_Risk_Data_Value_Footnote,Lesser_Risk_High_Confidence_Limit,Lesser_Risk_Low_Confidence_Limit,Sample_Size,Sex,Age,GeoLocation,TopicID,SubtopicID,QuestionCode,LocationId,StratID1,StratID2,StratID3,StratificationType
2011,YSM,Malaysia - M,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 3 day,Ate food from a fast food restaurant on three or more days,during the 7 days before the survey,%,Percentage,6.6719,,,4.8647,9.0865,N/A,93.3281,,,95.1353,90.9135,920,Total,13-15,,C05,C44,QNFF3G,NULL,S1,A7,YSM,Western Pacific
2015,PIA,Philippines (Luzon),GSHS,Dietary Behaviors,Fast Food,Fast food eating,Ate food from a fast food restaurant,during the 7 days before the survey,%,Percentage,58.9347,,,49.3587,67.8784,Did not eat food from a fast food restaurant,41.0653,,,50.6413,32.1216,700,Total,14,,C05,C44,G10,NULL,S1,A3,PIA,Western Pacific
2012,AGJ,Argentina Jujuy,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 2 day,Ate food from a fast food restaurant on two or more days,during the 7 days before the survey,%,Percentage,16.1074,,,13.6173,18.9529,N/A,83.8926,,,86.3827,81.0471,1182,Total,Total,,C05,C44,QNFF2G,NULL,S1,A1,AGJ,Americas
2012,AGU,Argentina Santa Fe,GSHS,Dietary Behaviors,Fast Food,Fast food eating,Ate food from a fast food restaurant,during the 7 days before the survey,%,Percentage,28.5585,,,22.3749,35.6658,Did not eat food from a fast food restaurant,71.4415,,,77.6251,64.3342,226,Female,14,,C05,C44,G10,NULL,S7,A3,AGU,Americas
2014,AF,Afghanistan,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 3 day,Ate food from a fast food restaurant on three or more days,during the 7 days before the survey,%,Percentage,17.7704,,,11.2517,26.9201,N/A,82.2296,,,88.7483,73.0799,125,Male,17,,C05,C44,QNFF3G,NULL,S8,A6,AF,Eastern Mediterranean
2015,PIE,Philippines (Malita),GSHS,Dietary Behaviors,Fast Food,Fast food eating,Ate food from a fast food restaurant,during the 7 days before the survey,%,Percentage,29.2917,,,22.8668,36.6638,Did not eat food from a fast food restaurant,70.7083,,,77.1332,63.3362,181,Total,16,,C05,C44,G10,NULL,S1,A5,PIE,Western Pacific
2015,IO,Indonesia,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 2 day,Ate food from a fast food restaurant on two or more days,during the 7 days before the survey,%,Percentage,27.1529,,,24.9669,29.4551,N/A,72.8471,,,75.0331,70.5449,3704,Female,13-15,,C05,C44,QNFF2G,NULL,S7,A7,IO,South-East Asia
2015,OM,Oman,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 3 day,Ate food from a fast food restaurant on three or more days,during the 7 days before the survey,%,Percentage,24.0123,,,21.1992,27.0704,N/A,75.9877,,,78.8008,72.9296,3109,Total,13-17,,C05,C44,QNFF3G,NULL,S1,A8,OM,Eastern Mediterranean
2012,AGS,Argentina San Luis,GSHS,Dietary Behaviors,Fast Food,Fast food eating,Ate food from a fast food restaurant,during the 7 days before the survey,%,Percentage,24.0518,,,18.9647,29.9984,Did not eat food from a fast food restaurant,75.9482,,,81.0353,70.0016,565,Male,13-15,,C05,C44,G10,NULL,S8,A7,AGS,Americas
2009,ANB,Barbuda,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 2 day,Ate food from a fast food restaurant on two or more days,during the 7 days before the survey,%,Percentage,,,,,,N/A,,,,,,12,Female,13,,C05,C44,QNFF2G,NULL,S7,A2,ANB,Americas
2014,MVB,Maldives (Atolls),GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 3 day,Ate food from a fast food restaurant on three or more days,during the 7 days before the survey,%,Percentage,5.9031,,,3.669,9.3655,N/A,94.0969,,,96.331,90.6345,155,Male,15,,C05,C44,QNFF3G,NULL,S8,A4,MVB,South-East Asia
2013,KH,Cambodia,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 3 day,Ate food from a fast food restaurant on three or more days,during the 7 days before the survey,%,Percentage,5.5965,,,3.458,8.9352,N/A,94.4035,,,96.542,91.0648,448,Total,13,,C05,C44,QNFF3G,NULL,S1,A2,KH,Western Pacific
2013,KHB,Cambodia Rural,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 3 day,Ate food from a fast food restaurant on three or more days,during the 7 days before the survey,%,Percentage,0.7885,,,0.0882,6.6775,N/A,99.2115,,,99.9118,93.3225,132,Female,16,,C05,C44,QNFF3G,NULL,S7,A5,KHB,Western Pacific
2014,BD,Bangladesh,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 3 day,Ate food from a fast food restaurant on three or more days,during the 7 days before the survey,%,Percentage,15.7652,,,10.8119,22.4174,N/A,84.2348,,,89.1881,77.5826,641,Female,14,,C05,C44,QNFF3G,NULL,S7,A3,BD,South-East Asia
2010,JM,Jamaica,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 2 day,Ate food from a fast food restaurant on two or more days,during the 7 days before the survey,%,Percentage,36.1103,,,26.2881,47.2499,N/A,63.8897,,,73.7119,52.7501,813,Female,Total,,C05,C44,QNFF2G,NULL,S7,A1,JM,Americas
2015,PIB,Philippines (Visayas),GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 2 day,Ate food from a fast food restaurant on two or more days,during the 7 days before the survey,%,Percentage,13.3226,,,9.7884,17.8799,N/A,86.6774,,,90.2116,82.1201,353,Female,13,,C05,C44,QNFF2G,NULL,S7,A2,PIB,Western Pacific
2013,NB,Namibia,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 3 day,Ate food from a fast food restaurant on three or more days,during the 7 days before the survey,%,Percentage,18.8531,,,14.3824,24.3188,N/A,81.1469,,,85.6176,75.6812,398,Female,15,,C05,C44,QNFF3G,NULL,S7,A4,NB,African
2015,PIC,Philippines (Mindanao),GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 2 day,Ate food from a fast food restaurant on two or more days,during the 7 days before the survey,%,Percentage,12.4819,,,7.1994,20.7726,N/A,87.5181,,,92.8006,79.2274,1386,Female,13-17,,C05,C44,QNFF2G,NULL,S7,A8,PIC,Western Pacific
2015,PI,Philippines,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 3 day,Ate food from a fast food restaurant on three or more days,during the 7 days before the survey,%,Percentage,8.4022,,,6.6642,10.5424,N/A,91.5978,,,93.3358,89.4576,8753,Total,Total,,C05,C44,QNFF3G,NULL,S1,A1,PI,Western Pacific
2012,BLA,Bolivia Highland,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 3 day,Ate food from a fast food restaurant on three or more days,during the 7 days before the survey,%,Percentage,15.3716,,,10.7666,21.4721,N/A,84.6284,,,89.2334,78.5279,148,Male,13,,C05,C44,QNFF3G,NULL,S8,A2,BLA,Americas
2011,DZA,Algeria Urban,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 3 day,Ate food from a fast food restaurant on three or more days,during the 7 days before the survey,%,Percentage,20.0819,,,16.0332,24.8503,N/A,79.9181,,,83.9668,75.1497,448,Total,14,,C05,C44,QNFF3G,NULL,S1,A3,DZA,African
2013,KHA,Cambodia Urban,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 3 day,Ate food from a fast food restaurant on three or more days,during the 7 days before the survey,%,Percentage,3.5403,,,1.1416,10.4465,N/A,96.4597,,,98.8584,89.5535,267,Total,16,,C05,C44,QNFF3G,NULL,S1,A5,KHA,Western Pacific
2011,VU,Vanuatu,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 2 day,Ate food from a fast food restaurant on two or more days,during the 7 days before the survey,%,Percentage,29.5727,,,22.8284,37.3451,N/A,70.4273,,,77.1716,62.6549,482,Male,Total,,C05,C44,QNFF2G,NULL,S8,A1,VU,Western Pacific
2014,MVA,Maldives (Male),GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 3 day,Ate food from a fast food restaurant on three or more days,during the 7 days before the survey,%,Percentage,25.9166,,,18.2364,35.4296,N/A,74.0834,,,81.7636,64.5704,150,Male,17,,C05,C44,QNFF3G,NULL,S8,A6,MVA,South-East Asia
2011,YSK,Malaysia - K,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 2 day,Ate food from a fast food restaurant on two or more days,during the 7 days before the survey,%,Percentage,12.6606,,,8.3528,18.7358,N/A,87.3394,,,91.6472,81.2642,378,Total,15,,C05,C44,QNFF2G,NULL,S1,A4,YSK,Western Pacific
2011,LB,Lebanon,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 3 day,Ate food from a fast food restaurant on three or more days,during the 7 days before the survey,%,Percentage,17.5913,,,11.9148,25.1986,N/A,82.4087,,,88.0852,74.8014,254,Female,15,,C05,C44,QNFF3G,NULL,S7,A4,LB,Eastern Mediterranean
