"ins","type_entite","entite","periode","valeur"
"3000","Région","Wallonie","31/12/2018","18.4"
"20002","Province","Brabant Wallon","31/12/2018","61.2"
"25000","Arrondissement","Nivelles","31/12/2018","61.2"
"25005","Commune","Beauvechain","31/12/2018","0.0"
"25014","Commune","Braine-l'Alleud","31/12/2018","64.8"
"25015","Commune","Braine-le-Château","31/12/2018","0.6"
"25018","Commune","Chaumont-Gistoux","31/12/2018","0.0"
"25023","Commune","Court-Saint-Étienne","31/12/2018","0.0"
"25031","Commune","Genappe","31/12/2018","0.0"
"25037","Commune","Grez-Doiceau","31/12/2018","0.0"
"25043","Commune","Incourt","31/12/2018","10.0"
"25044","Commune","Ittre","31/12/2018","0.0"
"25048","Commune","Jodoigne","31/12/2018","0.0"
"25050","Commune","La Hulpe","31/12/2018","0.0"
"25068","Commune","Mont-Saint-Guibert","31/12/2018","52.3"
"25072","Commune","Nivelles","31/12/2018","13.7"
"25084","Commune","Perwez","31/12/2018","0.0"
"25091","Commune","Rixensart","31/12/2018","93.1"
"25105","Commune","Tubize","31/12/2018","0.3"
"25107","Commune","Villers-la-Ville","31/12/2018","0.0"
"25110","Commune","Waterloo","31/12/2018","2.5"
"25112","Commune","Wavre","31/12/2018","85.7"
"25117","Commune","Chastre","31/12/2018","0.0"
"25118","Commune","Hélécine","31/12/2018","0.0"
"25119","Commune","Lasne","31/12/2018","4.2"
"25120","Commune","Orp-Jauche","31/12/2018","0.0"
"25121","Commune","Ottignies-Louvain-la-Neuve","31/12/2018","49.8"
"25122","Commune","Ramillies","31/12/2018","0.0"
"25123","Commune","Rebecq","31/12/2018","0.0"
"25124","Commune","Walhain","31/12/2018","0.0"
"50000","Province","Hainaut","31/12/2018","11.2"
"51000","Arrondissement","Ath","31/12/2018","37.3"
"51004","Commune","Ath","31/12/2018","0.8"
"51008","Commune","Belœil","31/12/2018","0.0"
"51009","Commune","Bernissart","31/12/2018","0.0"
"51012","Commune","Brugelette","31/12/2018","0.0"
"51014","Commune","Chièvres","31/12/2018","0.0"
"51017","Commune","Ellezelles","31/12/2018","0.0"
"51019","Commune","Flobecq","31/12/2018","0.0"
"51065","Commune","Frasnes-lez-Anvaing","31/12/2018","0.0"
"51067","Commune","Enghien","31/12/2018","0.0"
"51068","Commune","Silly","31/12/2018","0.0"
"51069","Commune","Lessines","31/12/2018","89.4"
"52000","Arrondissement","Charleroi","31/12/2018","22.3"
"52010","Commune","Chapelle-lez-Herlaimont","31/12/2018","0.0"
"52011","Commune","Charleroi","31/12/2018","33.4"
"52012","Commune","Châtelet","31/12/2018","0.0"
"52015","Commune","Courcelles","31/12/2018","8.3"
"52018","Commune","Farciennes","31/12/2018","0.0"
"52021","Commune","Fleurus","31/12/2018","2.7"
"52022","Commune","Fontaine-l'Évêque","31/12/2018","0.0"
"52025","Commune","Gerpinnes","31/12/2018","8.9"
"52048","Commune","Montigny-le-Tilleul","31/12/2018","0.0"
"52055","Commune","Pont-à-Celles","31/12/2018","0.0"
"52074","Commune","Aiseau-Presles","31/12/2018","0.0"
"52075","Commune","Les Bons Villers","31/12/2018","0.0"
"53000","Arrondissement","Mons","31/12/2018","2.1"
"53014","Commune","Boussu","31/12/2018","9.3"
"53020","Commune","Dour","31/12/2018","0.0"
"53028","Commune","Frameries","31/12/2018","0.0"
"53039","Commune","Hensies","31/12/2018","0.0"
"53044","Commune","Jurbise","31/12/2018","0.0"
"53046","Commune","Lens","31/12/2018","0.0"
"53053","Commune","Mons","31/12/2018","5.5"
"53065","Commune","Quaregnon","31/12/2018","0.0"
"53068","Commune","Quiévrain","31/12/2018","0.0"
"53070","Commune","Saint-Ghislain","31/12/2018","0.0"
"53082","Commune","Colfontaine","31/12/2018","0.0"
"53083","Commune","Honnelles","31/12/2018","0.0"
"53084","Commune","Quévy","31/12/2018","0.0"
"55000","Arrondissement","Soignies","31/12/2018","0.0"
